city,description,temperature,feelsLike,minimumTemp,maximumTemp,pressure,humidity,windSpeed,timeRecorded,sunrise,sunset
Nairobi,overcast clouds,18.25,18.170000000000016,18.25,18.25,1018,78,2.03,2025-06-28T12:09:12,2025-06-28T06:34:28,2025-06-28T18:37:17
London,overcast clouds,22.100000000000023,22.379999999999995,22.100000000000023,22.100000000000023,1024,77,4.42,2025-06-28T10:09:27,2025-06-28T04:45:44,2025-06-28T21:21:36
Kampala,scattered clouds,29.33000000000004,28.670000000000016,29.33000000000004,29.33000000000004,1013,37,3.03,2025-06-28T12:11:34,2025-06-28T06:48:39,2025-06-28T18:56:58
Thika,overcast clouds,18.090000000000032,18.120000000000005,18.090000000000032,18.090000000000032,1018,83,1.42,2025-06-28T12:11:32,2025-06-28T06:33:02,2025-06-28T18:36:42
Beijing,overcast clouds,29.310000000000002,31.400000000000034,29.310000000000002,29.310000000000002,1000,59,4.71,2025-06-28T17:11:33,2025-06-28T04:48:03,2025-06-28T19:46:58
New York,overcast clouds,17.5,17.730000000000018,17.5,17.5,1019,93,3.39,2025-06-28T05:06:54,2025-06-28T05:27:13,2025-06-28T20:31:13
Paris,broken clouds,24.430000000000007,24.57000000000005,24.430000000000007,24.430000000000007,1027,63,1.47,2025-06-28T11:07:38,2025-06-28T05:49:28,2025-06-28T21:58:04
Tokyo,overcast clouds,29.58000000000004,30.04000000000002,29.58000000000004,29.58000000000004,1006,47,7.86,2025-06-28T18:11:41,2025-06-28T04:27:35,2025-06-28T19:01:03
Sydney,few clouds,12.520000000000039,11.920000000000016,12.520000000000039,12.520000000000039,1026,80,0.62,2025-06-28T19:11:43,2025-06-28T07:00:53,2025-06-28T16:55:37
Moscow,broken clouds,22.090000000000032,21.450000000000045,22.090000000000032,22.090000000000032,1006,42,1.68,2025-06-28T12:07:47,2025-06-28T03:47:31,2025-06-28T21:17:50
Berlin,few clouds,23.30000000000001,23.230000000000018,23.30000000000001,23.30000000000001,1022,59,4.15,2025-06-28T11:11:45,2025-06-28T04:45:45,2025-06-28T21:33:16
Madrid,clear sky,30.0,28.55000000000001,30.0,30.0,1023,27,1.71,2025-06-28T11:11:39,2025-06-28T06:46:55,2025-06-28T21:49:02
Rome,overcast clouds,20.730000000000018,21.340000000000032,20.730000000000018,20.730000000000018,1020,95,0.95,2025-06-28T05:11:48,2025-06-28T06:31:11,2025-06-28T20:56:32
Los Angeles,clear sky,18.08000000000004,18.08000000000004,18.08000000000004,18.08000000000004,1014,82,1.27,2025-06-28T02:11:41,2025-06-28T05:44:05,2025-06-28T20:08:18
Chicago,scattered clouds,19.150000000000034,19.420000000000016,19.150000000000034,19.150000000000034,1016,88,1.7,2025-06-28T04:11:42,2025-06-28T05:17:57,2025-06-28T20:29:40
Toronto,overcast clouds,21.24000000000001,21.850000000000023,21.24000000000001,21.24000000000001,1011,93,3.21,2025-06-28T05:11:43,2025-06-28T05:38:20,2025-06-28T21:03:24
Vancouver,overcast clouds,13.870000000000005,13.640000000000043,13.870000000000005,13.870000000000005,1020,89,0.94,2025-06-28T02:11:44,2025-06-28T05:09:36,2025-06-28T21:21:48
Dubai,overcast clouds,38.75,45.75,38.75,38.75,994,56,5.98,2025-06-28T13:10:37,2025-06-28T05:30:59,2025-06-28T19:12:51
Singapore,overcast clouds,29.700000000000045,36.700000000000045,29.700000000000045,29.700000000000045,1008,81,6.04,2025-06-28T17:11:28,2025-06-28T07:01:52,2025-06-28T19:13:32
Hong Kong,overcast clouds,30.010000000000048,37.01000000000005,30.010000000000048,30.010000000000048,1004,87,5.38,2025-06-28T17:07:43,2025-06-28T05:41:51,2025-06-28T19:11:05
Bangkok,overcast clouds,32.82000000000005,39.82000000000005,32.82000000000005,32.82000000000005,1005,63,3.88,2025-06-28T16:07:44,2025-06-28T05:53:07,2025-06-28T18:48:58
Istanbul,clear sky,29.52000000000004,29.590000000000032,29.52000000000004,29.52000000000004,1012,44,5.67,2025-06-28T12:07:11,2025-06-28T05:34:04,2025-06-28T20:40:21
Cairo,clear sky,32.34000000000003,32.97000000000003,32.34000000000003,32.34000000000003,1005,41,1.79,2025-06-28T12:08:14,2025-06-28T05:56:09,2025-06-28T20:00:08
Johannesburg,clear sky,9.180000000000007,8.04000000000002,9.180000000000007,9.180000000000007,1027,24,2.25,2025-06-28T11:11:21,2025-06-28T06:55:44,2025-06-28T17:26:12
Buenos Aires,clear sky,9.230000000000018,8.170000000000016,9.230000000000018,9.230000000000018,1021,65,2.15,2025-06-28T06:07:39,2025-06-28T08:01:09,2025-06-28T17:52:15
Lagos,light rain,28.24000000000001,31.58000000000004,28.24000000000001,28.24000000000001,1016,73,2.96,2025-06-28T10:12:07,2025-06-28T06:33:08,2025-06-28T19:03:11
Lima,overcast clouds,17.970000000000027,18.090000000000032,17.970000000000027,17.970000000000027,1015,87,1.82,2025-06-28T04:11:53,2025-06-28T06:28:39,2025-06-28T17:53:59
Mumbai,clear sky,28.30000000000001,33.04000000000002,28.30000000000001,28.30000000000001,1004,81,10.98,2025-06-28T14:39:06,2025-06-28T06:03:45,2025-06-28T19:19:43
Delhi,few clouds,38.58000000000004,40.47000000000003,38.58000000000004,38.58000000000004,995,30,2.35,2025-06-28T14:39:14,2025-06-28T05:25:35,2025-06-28T19:22:56
Shanghai,clear sky,33.650000000000034,38.98000000000002,33.650000000000034,33.650000000000034,1003,54,3.85,2025-06-28T17:12:12,2025-06-28T04:52:23,2025-06-28T19:02:09
Seoul,broken clouds,27.650000000000034,32.210000000000036,27.650000000000034,27.650000000000034,1006,87,2.83,2025-06-28T18:12:10,2025-06-28T05:12:59,2025-06-28T19:57:22
Mexico City,overcast clouds,19.010000000000048,19.160000000000025,19.010000000000048,19.010000000000048,1017,84,1.93,2025-06-28T03:12:15,2025-06-28T06:00:58,2025-06-28T19:18:29
Jakarta,broken clouds,30.650000000000034,37.650000000000034,30.650000000000034,30.650000000000034,1009,74,2.76,2025-06-28T16:12:16,2025-06-28T06:02:50,2025-06-28T17:48:37
Rio de Janeiro,overcast clouds,22.29000000000002,22.950000000000045,22.29000000000002,22.29000000000002,1022,91,1.03,2025-06-28T06:09:03,2025-06-28T06:33:53,2025-06-28T17:18:08
Ṣo Paulo,overcast clouds,16.170000000000016,16.30000000000001,16.170000000000016,16.170000000000016,1024,94,2.7,2025-06-28T06:11:46,2025-06-28T06:48:55,2025-06-28T17:30:32
Karachi,overcast clouds,33.73000000000002,40.73000000000002,33.73000000000002,33.73000000000002,995,59,5.34,2025-06-28T14:10:51,2025-06-28T05:44:38,2025-06-28T19:24:58
Manila,broken clouds,29.99000000000001,36.99000000000001,29.99000000000001,29.99000000000001,1007,78,5.38,2025-06-28T17:08:05,2025-06-28T05:29:39,2025-06-28T18:28:41
Tehran,clear sky,32.54000000000002,30.55000000000001,32.54000000000002,32.54000000000002,1005,21,2.64,2025-06-28T12:39:08,2025-06-28T04:50:44,2025-06-28T19:24:09
Baghdad,clear sky,45.03000000000003,40.60000000000002,45.03000000000003,45.03000000000003,995,6,6.57,2025-06-28T12:09:24,2025-06-28T04:55:15,2025-06-28T19:15:49
Dhaka,broken clouds,33.14000000000004,39.879999999999995,33.14000000000004,33.14000000000004,997,60,7.16,2025-06-28T15:11:27,2025-06-28T05:13:53,2025-06-28T18:49:05
Kinshasa,light rain,24.25,24.689999999999998,24.25,24.25,1017,75,1.83,2025-06-28T10:12:05,2025-06-28T06:05:42,2025-06-28T17:58:02
Casablanca,clear sky,38.650000000000034,41.77000000000004,38.650000000000034,38.650000000000034,1016,33,3.68,2025-06-28T10:12:28,2025-06-28T06:22:43,2025-06-28T20:44:34
Algiers,clear sky,26.24000000000001,26.24000000000001,26.24000000000001,26.24000000000001,1023,51,3.31,2025-06-28T10:07:38,2025-06-28T05:31:16,2025-06-28T20:10:43
Accra,overcast clouds,26.370000000000005,26.370000000000005,26.370000000000005,26.370000000000005,1016,76,4.18,2025-06-28T09:09:46,2025-06-28T05:50:43,2025-06-28T18:17:10
